rfm_segment,customer_count,total_revenue,avg_lifetime_spend,avg_aov,avg_recency_days,avg_order_count,pct_of_customers,pct_of_revenue
Champions (VIP),427,1839186.92,4307.229320843091,440.55892271662765,36.868852459016395,10.498829039812646,17.49,44.59
At Risk VIPs (High Value),298,795150.18,2668.2891946308728,432.0808053691275,553.4563758389262,6.691275167785235,12.2,19.28
Loyal Customers,414,760987.82,1838.1348309178743,420.9192270531401,120.68357487922705,4.7898550724637685,16.95,18.45
Promising / Needs Attention,613,249460.71,406.9505872756933,221.15975530179443,257.7911908646003,2.1256117455138663,25.1,6.05
About to Sleep,161,245805.36000000002,1526.7413664596274,1076.322111801242,635.8819875776397,1.546583850931677,6.59,5.96
Potential Loyalists,96,136243.8,1419.20625,926.4414583333333,60.197916666666664,1.6979166666666667,3.93,3.3
Lost / Inactive,369,81305.47,220.34002710027102,188.13631436314364,690.3929539295393,1.1436314363143631,15.11,1.97
New Recent Customers,64,16685.420000000002,260.70968750000003,260.70968750000003,65.265625,1.0,2.62,0.4
